Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Jack Whatmough,England,,checked,Preston North End,England,Championship,CD,Right,Balanced,Stopper,Controller,Lynchpin,83,,
Layton Stewart,England,,checked,Preston North End,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,81,,
Brad Potts,England,,checked,Preston North End,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Ali McCann,,,checked,Preston North End,England,Championship,CM,Right,Cautious,Engine,Stopper,Destroyer,82,,
Freddie Woodman,England,,checked,Preston North End,England,Championship,GK,Right,Cautious,Aerial,Orthodox,Barrier,83,,
Noah Mawene,France,,checked,Preston North End,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,80,,
Kaedyn Kamara,England,,checked,Preston North End,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,78,,
Jordan Storey,England,,checked,Preston North End,England,Championship,CD,Right,Balanced,Stopper,Controller,Lynchpin,82,,
Ched Evans,Wales,,checked,Preston North End,England,Championship,CF,Right,Attacking,Striker,Powerhouse,Hitman,83,,
Greg Cunningham,Ireland,,checked,Preston North End,England,Championship,CD,Left,Balanced,Stopper,Engine,Disruptor,81,,
Milutin Osmajic,Montenegro,,checked,Preston North End,England,Championship,CF,Right,Attacking,Powerhouse,Striker,Rifle,82,,
Felipe Rodriguez-Gentile,Argentina,,checked,Preston North End,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,79,,
Kian Taylor,England,,checked,Preston North End,England,Championship,CM,Right,Balanced,Controller,Passer,Regista,77,,
Ben Woodburn,Wales,,checked,Preston North End,England,Championship,CM,Right,Balanced,Creator,Passer,Maestro,84,,
Duane Holmes,,,checked,Preston North End,England,Championship,CM,Right,Balanced,Creator,Dribbler,Magician,84,,
Liam Millar,Canada,,checked,Preston North End,England,Championship,WF,Right,Attacking,Creator,Dribbler,Magician,83,,
Mads Frokjaer-Jensen,Denmark,,checked,Preston North End,England,Championship,CM,Right,Attacking,Dribbler,Creator,Wizard,82,,
Ryan Ledson,England,,checked,Preston North End,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Alan Browne,Ireland,,checked,Preston North End,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,84,,
Emil Riis Jakobsen,Denmark,,checked,Preston North End,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,83,,
Liam Lindsay,Scotland,,checked,Preston North End,England,Championship,CD,Left,Balanced,Stopper,Engine,Disruptor,82,,
David Cornell,Wales,,checked,Preston North End,England,Championship,GK,Right,Balanced,Distributor,Sweeper,Libero GK,82,,
Jack Colback,England,,checked,QPR,England,Championship,CM,Left,Balanced,Engine,Controller,Box-To-Box,84,,
Chris Willock,England,,checked,QPR,England,Championship,WF,Right,Attacking,Dribbler,Creator,Wizard,83,,
Michael Frey,Belgium,,checked,QPR,England,Championship,CF,Right,Balanced,Engine,Striker,Menace,84,,
Sinclair Armstrong,Ireland,,checked,QPR,England,Championship,CF,Right,Attacking,Sprinter,Dribbler,Spark,84,,
Elijah Dixon-Bonner,England,,checked,QPR,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,80,,
Joe Walsh,England,,checked,QPR,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,81,,
Aaron Drewe,India,,checked,QPR,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,80,,
Kenneth Paal,Suriname,,checked,QPR,England,Championship,WD ,Left,Balanced,Sprinter,Cover,Flanker,83,,
Ilias Chair,Morocco,,checked,QPR,England,Championship,WM,Right,Balanced,Creator,Dribbler,Magician,84,,
Lyndon Dykes,Scotland,,checked,QPR,England,Championship,CF,Right,Balanced,Powerhouse,Aerial,Dominator,85,,
Murphy Mahoney,England,,checked,QPR,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,81,,
Jake Clarke-Salter,England,,checked,QPR,England,Championship,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,84,,
Reggie Cannon,,,checked,QPR,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,84,,
Sam Field,England,,checked,QPR,England,Championship,CM,Left,Balanced,Engine,Controller,Box-To-Box,83,,
Morgan Fox,Wales,,checked,QPR,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,83,,
Jordan Archer,Scotland,,checked,QPR,England,Championship,GK,Right,Cautious,Acrobat,Sweeper,Hawk,82,,
Steve Cook,England,,checked,QPR,England,Championship,CD,Right,Balanced,Stopper,Engine,Disruptor,83,,
Asmir Begović,Bosnia & Herzegovina,,checked,QPR,England,Championship,GK,Right,Cautious,Orthodox,Acrobat,Wall,85,,
Taylor Richards,England,,checked,QPR,England,Championship,CM,Left,Attacking,Dribbler,Creator,Wizard,83,,
Osman Kakay,Sierra Leone,,checked,QPR,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,80,,
Tommy Smith,England,,checked,QPR,England,Championship,WD ,Right,Balanced,Cover,Commander,Volante,84,,
Jimmy Dunne,Ireland,,checked,QPR,England,Championship,CD,Right,Cautious,Stopper,Commander,Leader,82,,
Ziyad Larkeche,France,,checked,QPR,England,Championship,WD ,Left,Balanced,Engine,Sprinter,Shuttler,81,,
Rafferty Pedder,England,,checked,QPR,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,80,,
Lucas Andersen,Denmark,,checked,QPR,England,Championship,WF,Right,Attacking,Creator,Passer,Maestro,85,,
Paul Smyth,,,checked,QPR,England,Championship,WF,Right,Attacking,Sprinter,Creator,Livewire,82,,
Andy Carroll,England,,checked,Reading,England,Championship,CF,Left,Attacking,Aerial,Striker,Target,85,,
Dom Ballard,England,,checked,Reading,England,Championship,CF,Right,Balanced,Striker,Sprinter,Rocket,82,,
Harlee Dean,England,,checked,Reading,England,,,,,,,,,,
Femi Azeez,England,,checked,Reading,England,,,,,,,,,,
Jeriel Dorsett,,,checked,Reading,England,,,,,,,,,,
Coniah Boyce-Clarke,Jamaica,,checked,Reading,England,,GK,,,,,,,,
Clinton Mola,England,,checked,Reading,England,,,,,,,,,,
Mamadi Camará,Guinea-Bissau,,checked,Reading,England,,,,,,,,,,
Tivonge Rushesha,Zimbabwe,,checked,Reading,England,,,,,,,,,,
Charlie Savage,Wales,,checked,Reading,England,,,,,,,,,,
Jökull Andrésson,Iceland,,checked,Reading,England,,GK,,,,,,,,
Sam Hutchinson,England,,checked,Reading,England,,,,,,,,,,
Kelvin Ehibhatiomhan,England,,checked,Reading,England,,,,,,,,,,
Matthew Carson,England,,checked,Reading,England,,,,,,,,,,
Jahmari Clarke,Jamaica,,checked,Reading,England,,,,,,,,,,
Dean Bouzanis,Australia,,checked,Reading,England,,GK,,,,,,,,
David Button,England,,checked,Reading,England,,GK,Right,,,,,,,
Tyler Bindon,New Zealand,,checked,Reading,England,,,,,,,,,,
Sam Smith,England,,checked,Reading,England,,,,,,,,,,
Kelvin Abrefa,Ghana,,checked,Reading,England,,,,,,,,,,
Ben Elliott,Cameroon,,checked,Reading,England,,,,,,,,,,
Nesta Guinness-Walker,England,,checked,Reading,England,,,,,,,,,,
Joel Pereira,Portugal,,checked,Reading,England,,GK,,,,,,,,
Harvey Knibbs,England,,checked,Reading,England,,,,,,,,,,
Andy Yiadom,Ghana,,checked,Reading,England,,,,,,,,,,
Lewis Wing,England,,checked,Reading,England,,,,,,,,,,
Michael Craig,Scotland,,checked,Reading,England,,,,,,,,,,
Amadou Mbengue,Senegal,,checked,Reading,England,,,,,,,,,,
Jayden Wareham,England,,checked,Reading,England,,,,,,,,,,
Sean Morrison,England,,checked,Rotherham,England,Championship,CD,Right,Balanced,Stopper,Commander,Leader,82,,
Ciaran McGuckin,,,checked,Rotherham,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,80,,
Tolaji Bola,England,,checked,Rotherham,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,80,,
Dillon Phillips,England,,checked,Rotherham,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,80,,
Shane Ferguson,England,,checked,Rotherham,England,Championship,WM,Left,Balanced,Engine,Passer,Orchestrator,83,,
Cohen Bramall,England,,checked,Rotherham,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,80,,
Nathaniel Ford,England,,checked,Rotherham,England,Championship,GK,Right,Cautious,Aerial,Orthodox,Barrier,77,,
Sam Nombe,England,,checked,Rotherham,England,Championship,CF,Right,Attacking,Sprinter,Powerhouse,Athlete,83,,
Viktor Johansson,Sweden,,checked,Rotherham,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,82,,
Cafú,Portugal,,checked,Rotherham,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Femi Seriki,England,,checked,Rotherham,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,80,,
Christ Tiehi,,,checked,Rotherham,England,Championship,CM,Right,Cautious,Powerhouse,Engine,Tank,82,,
Cameron Humphreys,England,,checked,Rotherham,England,Championship,CD,Right,Balanced,Commander,Stopper,Skipper,83,,
Tyler Blackett,England,,checked,Rotherham,England,Championship,CD,Left,Balanced,Stopper,Powerhouse,Gladiator,82,,
Andre Green,England,,checked,Rotherham,England,Championship,WF,Right,Attacking,Sprinter,Creator,Livewire,82,,
Josh Ayres,England,,checked,Rotherham,England,Championship,CF,Right,Attacking,Aerial,Powerhouse,Bulldozer,78,,
Jamie Lindsay,Scotland,,checked,Rotherham,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,82,,
Charlie Wyke,England,,checked,Rotherham,England,Championship,CF,Right,Attacking,Aerial,Powerhouse,Bulldozer,82,,
Sam Clucas,England,,checked,Rotherham,England,Championship,WM,Left,Balanced,Engine,Creator,Raumdeuter,82,,
Oliver Rathbone,England,,checked,Rotherham,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Joshua Kayode,Ireland,,checked,Rotherham,England,Championship,CF,Right,Attacking,Sprinter,Engine,Raider,80,,
Peter Kioso,Ireland,,checked,Rotherham,England,Championship,WD ,Right,Cautious,Powerhouse,Engine,Tank,81,,
Hakeem Odoffin,England,,checked,Rotherham,England,Championship,CM,Right,Balanced,Aerial,Engine,Juggernaut,80,,
Arvin Appiah,England,,checked,Rotherham,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,80,,
Jordan Hugill,England,,checked,Rotherham,England,Championship,CF,Right,Attacking,Powerhouse,Aerial,Dominator,83,,
Lee Peltier,England,,checked,Rotherham,England,Championship,WD ,Right,Cautious,Cover,Commander,Volante,83,,
Tom Eaves,England,,checked,Rotherham,England,Championship,CF,Right,Attacking,Aerial,Powerhouse,Bulldozer,80,,
Sebastian Revan,England,,checked,Rotherham,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,81,,
Grant Hall,England,,checked,Rotherham,England,Championship,CD,Right,Balanced,Aerial,Stopper,Colossus,82,,
Andy Rinomhota,Zimbabwe,,checked,Rotherham,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Christ Tiéhi,Côte d’Ivoire,,checked,Rotherham,England,League One,CM,Right,Cautious,,,,83,,
Kevin Berkoe,England,,checked,Salford City,England,League Two,,,,,,,,,
Conor McAleny,England,,checked,Salford City,England,League Two,,Right,,,,,,,
Alex Cairns,England,,checked,Salford City,England,League Two,GK,,,,,,,,
Jez Davies,England,,checked,Salford City,England,League Two,,,,,,,,,
Ryan Watson,England,,checked,Salford City,England,League Two,,,,,,,,,
Matty Lund,,,checked,Salford City,England,League Two,,,,,,,,,
Ossama Ashley,England,,checked,Salford City,England,League Two,,,,,,,,,
Matt Smith,England,,checked,Salford City,England,League Two,CF,,Attacking,Aerial,Powerhouse,Bulldozer,84,,
Liam Shephard,Wales,,checked,Salford City,England,League Two,,,,,,,,,
Dan Chesters,England,,checked,Salford City,England,League Two,,,,,,,,,
Luke Garbutt,England,,checked,Salford City,England,League Two,,Left,,,,,,,
Callum Morton,England,,checked,Salford City,England,League Two,,,,,,,,,
Stevie Mallan,Scotland,,checked,Salford City,England,League Two,,,,,,,,,
Elliot Watt,Scotland,,checked,Salford City,England,League Two,,,,,,,,,
Theo Vassell,England,,checked,Salford City,England,League Two,,,,,,,,,
Curtis Tilt,Jamaica,,checked,Salford City,England,League Two,,,,,,,,,
Joel Torrance,England,,checked,Salford City,England,League Two,GK,,,,,,,,
Adrian Mariappa,Jamaica,,checked,Salford City,England,League Two,,Right,,,,,,,
Callum Hendry,Scotland,,checked,Salford City,England,League Two,,,,,,,,,
Ethan Ingram,England,,checked,Salford City,England,League Two,,,,,,,,,
Connor McLennan,Scotland,,checked,Salford City,England,League Two,,,,,,,,,
Cameron Archer,England,,checked,Sheffield United,England,Premier League,CF,Right,Attacking,Sprinter,Striker,Assassin,85,,
James McAtee,England,,checked,Sheffield United,England,Premier League,WF,Left,Attacking,Creator,Dribbler,Magician,86,,
Mason Holgate,England,,checked,Sheffield United,England,Premier League,CD,Right,Cautious,Stopper,Powerhouse,Gladiator,83,,
Ben Osborn,England,,checked,Sheffield United,England,Premier League,WM,Left,Balanced,Engine,Passer,Orchestrator,84,,
Rhys Norrington-Davies,Wales,,checked,Sheffield United,England,Premier League,WD ,Left,Balanced,Engine,Sprinter,Shuttler,83,,
Jayden Bogle,England,,checked,Sheffield United,England,Premier League,WD ,Right,Balanced,Sprinter,Engine,Raider,85,,
Wes Foderingham,England,,checked,Sheffield United,England,Premier League,GK,Left,Balanced,Acrobat,Orthodox,Shotstopper,84,,
Jordan Amissah,Germany,,checked,Sheffield United,England,Premier League,GK,Right,Balanced,Aerial,Orthodox,Barrier,80,,
Will Osula,Denmark,,checked,Sheffield United,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,84,,
Yasser Larouci,Algeria,,checked,Sheffield United,England,Premier League,WD ,Left,Attacking,Sprinter,Engine,Raider,84,,
George Baldock,Greece,,checked,Sheffield United,England,Premier League,WM,Right,Balanced,Engine,Cover,Dynamo,84,,
Ollie Arblaster,England,,checked,Sheffield United,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,83,,
Sam Curtis,Ireland,,checked,Sheffield United,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,80,,
Anis Ben Slimane,Tunisia,,checked,Sheffield United,England,Premier League,CM,Right,Balanced,Engine,Stopper,Destroyer,82,,
Auston Trusty,,,checked,Sheffield United,England,Premier League,CD,Left,Cautious,Stopper,Aerial,Centre Back,84,,
Anel Ahmedhodzic,,,checked,Sheffield United,England,Premier League,CD,Right,Attacking,Stopper,Engine,Disruptor,85,,
Ivo Grbic,Croatia,,checked,Sheffield United,England,Premier League,GK,Right,Balanced,Orthodox,Commander,Sentinel,81,,
Andre Brooks,,,checked,Sheffield United,England,Premier League,CM,Left,Balanced,Engine,Commander,Driver,83,,
Vinicius Souza,Brazil,,checked,Sheffield United,England,Premier League,CM,Right,Balanced,Engine,Powerhouse,Bison,85,,
Gustavo Hamer,Brazil,,checked,Sheffield United,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Jack Robinson,England,,checked,Sheffield United,England,Premier League,CD,Left,Cautious,Stopper,Commander,Leader,84,,
Chris Basham,England,,checked,Sheffield United,England,Premier League,CD,Right,Balanced,Stopper,Engine,Disruptor,84,,
Ben Brereton Diaz,Chile,,checked,Sheffield United,England,Premier League,CF,Right,Attacking,Sprinter,Striker,Assassin,86,,
Adam Davies,Wales,,checked,Sheffield United,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,82,,
Oliver Norwood,,,checked,Sheffield United,England,Premier League,CM,Right,Balanced,Controller,Passer,Regista,84,,
Max Lowe,England,,checked,Sheffield United,England,Premier League,WD ,Left,Attacking,Sprinter,Creator,Livewire,83,,
John Egan,Ireland,,checked,Sheffield United,England,Premier League,CD,Right,Cautious,Commander,Stopper,Skipper,84,,
Tom Davies,England,,checked,Sheffield United,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,84,,
Daniel Jebbison,Canada,,checked,Sheffield United,England,Premier League,CF,Right,Attacking,Sprinter,Striker,Assassin,81,,
Rhian Brewster,England,,checked,Sheffield United,England,Premier League,CF,Right,Attacking,Striker,Sprinter,Rocket,84,,
Juan Delgado,Chile,,checked,Sheffield Wednesday,England,Championship,WM,Right,Balanced,Engine,Dribbler,Tornate,82,,
Callum Paterson,Scotland,,checked,Sheffield Wednesday,England,Championship,CF,Right,Balanced,Engine,Powerhouse,Bison,81,,
Mallik Wilks,England,,checked,Sheffield Wednesday,England,Championship,WF,Left,Attacking,Sprinter,Dribbler,Spark,80,,
Di'Shon Bernard,Jamaica,,checked,Sheffield Wednesday,England,Championship,CD,Right,Balanced,Stopper,Aerial,Centre Back,81,,
Marvin Johnson,England,,checked,Sheffield Wednesday,England,Championship,WM,Left,Balanced,Passer,Cover,Provider,80,,
Will Vaulks,Wales,,checked,Sheffield Wednesday,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Liam Palmer,Scotland,,checked,Sheffield Wednesday,England,Championship,WD ,Right,Balanced,Engine,Dribbler,Tornate,84,,
Bailey-Tye Cadamarteri,England,,checked,Sheffield Wednesday,England,Championship,CF,Right,Attacking,Striker,Aerial,Finisher,80,,
Pol Valentin,Spain,,checked,Sheffield Wednesday,England,Championship,WD ,Right,Balanced,Engine,Sprinter,Shuttler,82,,
Barry Bannan,Scotland,,checked,Sheffield Wednesday,England,Championship,CM,Left,Balanced,Passer,Creator,Playmaker,84,,
Lee Gregory,England,,checked,Sheffield Wednesday,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,82,,
Bambo Diaby,Senegal,,checked,Sheffield Wednesday,England,Championship,CD,Right,Cautious,Powerhouse,Stopper,Enforcer,81,,
Michael Smith,England,,checked,Sheffield Wednesday,England,Championship,CF,Right,Attacking,Aerial,Powerhouse,Bulldozer,83,,
Dominic Iorfa,England,,checked,Sheffield Wednesday,England,Championship,WD ,Right,Balanced,Powerhouse,Engine,Tank,83,,
Djeidi Gassama,France,,checked,Sheffield Wednesday,England,Championship,CF,Right,Attacking,Creator,Sprinter,Hurricane,80,,
Ciaran Brennan,Ireland,,checked,Sheffield Wednesday,England,Championship,CD,Right,Balanced,Stopper,Cover,Shield,81,,
Akin Famewo,England,,checked,Sheffield Wednesday,England,Championship,CD,Left,Balanced,Powerhouse,Stopper,Enforcer,82,,
George Byers,Scotland,,checked,Sheffield Wednesday,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Cameron Dawson,England,,checked,Sheffield Wednesday,England,Championship,GK,Right,Cautious,Aerial,Acrobat,Custodian,83,,
Tyreeq Bakinson,England,,checked,Sheffield Wednesday,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,81,,
Reece James,England,,checked,Sheffield Wednesday,England,Championship,WD ,Left,Balanced,Engine,Sprinter,Shuttler,81,,
Josh Windass,England,,checked,Sheffield Wednesday,England,Championship,CF,Right,Attacking,Striker,Sprinter,Rocket,83,,
Pierce Charles,,,checked,Sheffield Wednesday,England,Championship,GK,Right,Cautious,Acrobat,Sweeper,Hawk,79,,
Michael Ihiekwe,England,,checked,Sheffield Wednesday,England,Championship,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,82,,
Anthony Musaba,Netherlands,,checked,Sheffield Wednesday,England,Championship,WM,Right,Attacking,Sprinter,Dribbler,Spark,81,,
Max Mata,New Zealand,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Simba Nyamwanza,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Isaac Godwin,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Jordan Shipley,Ireland,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Jason Sraha,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Cammron Morris,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Carl Winchester,,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Jude Collins,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Harvey Watts,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Chey Dunkley,Jamaica,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Morgan Feeney,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Jack Price,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Jack Loughran,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Taylor Perry,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Aaron Pierre,Grenada,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Roland Idowu,Ireland,,checked,Shrewsbury Town,England,League One,,,,,,,,,
George Nurse,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Daniel Udoh,Nigeria,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Marko Maroši,Slovakia,,checked,Shrewsbury Town,England,League One,GK,,,,,,,,
Mal Benning,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Tom Bloxham,England,,checked,Shrewsbury Town,England,League One,,,,,,,,,
Adam Lallana,England,,checked,Southampton,England,Championship,WM,Either,Balanced,Dribbler,Creator,Wizard,80,,
Fraser Forster,England,,checked,Southampton,England,Championship,GK,Right,Cautious,Orthodox,Commander,Sentinel,84,,
Danny Ings,England,,checked,Southampton,England,Championship,CF,Right,Balanced,Striker,Engine,Poacher,85,,
Taylor Harwood-Bellis,England,,checked,Southampton,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,85,,
Ross Stewart,Scotland,,checked,Southampton,England,Championship,CF,Right,Balanced,Aerial,Striker,Target,83,,
Gavin Bazunu,Ireland,,checked,Southampton,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,84,,
Ryan Fraser,Scotland,,checked,Southampton,England,Championship,WF,Right,Balanced,Creator,Engine,Catalyst,85,,
Stuart Armstrong,Scotland,,checked,Southampton,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,86,,
Che Adams,Scotland,,checked,Southampton,England,Championship,CF,Right,Balanced,Powerhouse,Striker,Rifle,86,Starter,Contract Expiring
Flynn Downes,England,,checked,Southampton,England,Championship,CM,Right,Cautious,Engine,Stopper,Destroyer,84,,
Joe Lumley,England,,checked,Southampton,England,Championship,GK,Right,Cautious,Sweeper,Acrobat,Panther,82,,
Samuel Edozie,England,,checked,Southampton,England,Championship,WM,Right,Balanced,Sprinter,Dribbler,Spark,82,,
Juan Larios,Spain,,checked,Southampton,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,82,,
Sekou Mara,France,,checked,Southampton,England,Championship,CF,Right,Attacking,Striker,Creator,Talisman,85,,
Ryan Manning,Ireland,,checked,Southampton,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,84,,
James Bree,England,,checked,Southampton,England,Championship,WD ,Right,Balanced,Engine,Cover,Dynamo,84,,
Jan Bednarek,Poland,,checked,Southampton,England,Championship,CD,Right,Balanced,Engine,Stopper,Destroyer,85,,
Joe Aribo,Nigeria,,checked,Southampton,England,Championship,CM,Left,Attacking,Dribbler,Creator,Wizard,84,,
Kamaldeen Sulemana,Ghana,,checked,Southampton,England,Championship,WF,Right,Attacking,Sprinter,Dribbler,Spark,84,,
Jack Stephens,England,,checked,Southampton,England,Championship,CD,Right,Balanced,Stopper,Commander,Leader,85,,
Kyle Walker-Peters,England,,checked,Southampton,England,Championship,WD ,Right,Balanced,Engine,Sprinter,Shuttler,85,,
Shea Charles,,,checked,Southampton,England,Championship,CM,Right,Balanced,Engine,Powerhouse,Bison,85,Wonderkid,
Sam Amo-Ameyaw,England,,checked,Southampton,England,Championship,WF,Left,Attacking,Sprinter,Dribbler,Spark,80,,
Adam Armstrong,England,,checked,Southampton,England,Championship,WF,Right,Attacking,Sprinter,Striker,Assassin,86,,
Will Smallbone,Ireland,,checked,Southampton,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,83,,
Jayden Meghoma,England,,checked,Southampton,England,,WD ,Left,,,,,83,Wonderkid,
David Hicks,England,,checked,Stevenage,England,League One,,,,,,,,,
Jamie Reid,,,checked,Stevenage,England,League One,WF,Right,Attacking,Striker,Creator,Talisman,85,,
Kane Smith,England,,checked,Stevenage,England,League One,,,,,,,,,
Louis Thompson,Wales,,checked,Stevenage,England,League One,,,,,,,,,
Kane Hemmings,England,,checked,Stevenage,England,League One,,,,,,,,,
Harvey White,England,,checked,Stevenage,England,League One,,,,,,,,,
Nick Freeman,England,,checked,Stevenage,England,League One,,,,,,,,,
Aaron Pressley,Scotland,,checked,Stevenage,England,League One,,,,,,,,,
Carl Piergianni,England,,checked,Stevenage,England,League One,,,,,,,,,
Nathan Thompson,England,,checked,Stevenage,England,League One,,Right,,,,,,,
Alex MacDonald,Scotland,,checked,Stevenage,England,League One,,,,,,,,,
Makise Evans,England,,checked,Stevenage,England,League One,,,,,,,,,
Luther James-Wildin,,,checked,Stevenage,England,League One,,,,,,,,,
Max Woodford,England,,checked,Stevenage,England,League One,,,,,,,,,
Louis Appéré,Scotland,,checked,Stevenage,England,League One,,,,,,,,,
Elliott List,England,,checked,Stevenage,England,League One,,,,,,,,,
Rylee Mitchell,England,,checked,Stevenage,England,League One,GK,,,,,,,,
Terence Vancooten,Guyana,,checked,Stevenage,England,League One,,,,,,,,,
Dan Butler,England,,checked,Stevenage,England,League One,,,,,,,,,
Dan Sweeney,England,,checked,Stevenage,England,League One,,,,,,,,,
Ben Thompson,England,,checked,Stevenage,England,League One,,,,,,,,,
Jake Forster-Caskey,England,,checked,Stevenage,England,League One,,,,,,,,,
Jordan Roberts,England,,checked,Stevenage,England,League One,,,,,,,,,
Taye Ashby-Hammond,England,,checked,Stevenage,England,League One,GK,,,,,,,,
Kyle Wootton,England,,checked,Stockport County,England,League One,,,,,,,,,
Ethan Pye,England,,checked,Stockport County,England,League One,,,,,,,,,
Odin Bailey,England,,checked,Stockport County,England,League One,,,,,,,,,
Isaac Olaofe,England,,checked,Stockport County,England,League One,,,,,,,,,
Akil Wright,England,,checked,Stockport County,England,League One,,,,,,,,,
Will Collar,England,,checked,Stockport County,England,League One,,,,,,,,,
Jack Stretton,Scotland,,checked,Stockport County,England,League One,,,,,,,,,
Callum Camps,,,checked,Stockport County,England,League One,,,,,,,,,
Ibou Touray,Gambia,,checked,Stockport County,England,League One,,,,,,,,,
Cody Johnson,England,,checked,Stockport County,England,League One,,,,,,,,,
Nick Powell,England,,checked,Stockport County,England,League One,,Right,,,,,,,
Jay Mingi,England,,checked,Stockport County,England,League One,,,,,,,,,
Ashton Mee,England,,checked,Stockport County,England,League One,,,,,,,,,
Ryan Rydel,England,,checked,Stockport County,England,League One,,,,,,,,,
Macauley Southam-Hales,Wales,,checked,Stockport County,England,League One,,,,,,,,,
Kyle Knoyle,England,,checked,Stockport County,England,League One,,,,,,,,,
Ben Hinchliffe,England,,checked,Stockport County,England,League One,GK,,,,,,,,
Fraser Horsfall,England,,checked,Stockport County,England,League One,CD,Right,Cautious,Aerial,Stopper,Colossus,85,,
Lewis Baker,England,,checked,Stoke City,England,Championship,CM,Right,Attacking,Creator,Passer,Maestro,83,,
Tyrese Campbell,England,,checked,Stoke City,England,Championship,CF,Left,Attacking,Striker,Sprinter,Rocket,83,,
Blondy Nna Noukeu,Cameroon,,checked,Stoke City,England,Championship,GK,Right,Cautious,Orthodox,Commander,Sentinel,81,,
Josh Laurent,England,,checked,Stoke City,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,84,,
Nathan Lowe,England,,checked,Stoke City,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,81,,
Sead Haksabanovic,Montenegro,,checked,Stoke City,England,Championship,WM,Right,Attacking,Creator,Dribbler,Magician,83,,
