Name,Nation,Club,Position,Foot,Mentality,Primary Class,Secondary Class,Model,Level
Josh Tymon,England,Swansea City,WD ,L,Balanced,Engine,Creator,Raumdeuter,83
Jack Stacey,England,Norwich City,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
Arnau Martinez,Spain,Girona,WD ,R,Balanced,Cover,Engine,Guardian,83
Brandon Williams,England,Ipswich Town,WD ,R,Balanced,Sprinter,Engine,Shuttler,83
Dennis Cirkin,Ireland,Sunderland,WD ,L,Balanced,Engine,Cover,Dynamo,83
Tommy Smith,England,QPR,WD ,R,Balanced,Cover,Commander,Anchor,83
Callum Brittain,England,Blackburn Rovers,WD ,R,Balanced,Engine,Sprinter,Shuttler,83
Cameron Pring,England,Bristol City,WD ,L,Balanced,Sprinter,Engine,Shuttler,83
Aymeric Laporte,Spain,Al-Nassr,CD,L,Balanced,Stopper,Controller,Lynchpin,83
Conor Coady,England,Leicester City,CD,R,Balanced,Stopper,Commander,Leader,83
Joel Matip,Cameroon,Liverpool,CD,R,Cautious,Stopper,Aerial,Centre Back,83
Trevor Chalobah,England,Chelsea,CD,R,Balanced,Stopper,Powerhouse,Rock,83
Dara O'Shea,Ireland,Burnley,CD,R,Balanced,Stopper,Powerhouse,Rock,83
Rob Holding,England,Crystal Palace,CD,R,Cautious,Stopper,Aerial,Centre Back,83
Jordan Beyer,Germany,Burnley,CD,R,Balanced,Stopper,Controller,Lynchpin,83
Gabriel Osho,Nigeria,Luton Town,CD,R,Balanced,Powerhouse,Stopper,Enforcer,83
Taylor Harwood-Bellis,England,Manchester City,CD,R,Balanced,Stopper,Controller,Lynchpin,83
Mathias Jorgensen,Denmark,Brentford,CD,R,Balanced,Stopper,Commander,Leader,83
Lloyd Kelly,England,Bournemouth,CD,L,Balanced,Stopper,Controller,Lynchpin,83
Teden Mengi,England,Luton Town,CD,R,Cautious,Stopper,Controller,Lynchpin,83
Chris Richards,USA,Crystal Palace,CD,R,Balanced,Aerial,Engine,Boxcrasher,83
Malang Sarr,France,Chelsea,CD,L,Balanced,Cover,Controller,Anchor,83
Toti Gomes,Portugal,Wolves,CD,L,Cautious,Stopper,Powerhouse,Rock,83
Anel Ahmedhodzic,Bosnia,Sheffield United,CD,R,Attacking,Stopper,Engine,Train,83
Konstantinos Mavropanos,Greece,West Ham,CD,R,Cautious,Powerhouse,Aerial,Tank,83
Nayef Aguerd,Morocco,West Ham,CD,L,Balanced,Stopper,Aerial,Centre Back,83
John Egan,Ireland,Sheffield United,CD,R,Cautious,Stopper,Commander,Leader,83
Patrick Bauer,Germany,Preston North End,CD,R,Cautious,Stopper,Powerhouse,Rock,83
Cameron Burgess,Australia,Ipswich Town,CD,L,Cautious,Aerial,Stopper,Titan,83
Zak Vyner,England,Bristol City,CD,R,Balanced,Stopper,Commander,Leader,83
Alfie Jones,England,Hull City,CD,R,Balanced,Stopper,Aerial,Centre Back,83
Harry Darling,England,Swansea City,CD,R,Balanced,Stopper,Aerial,Centre Back,83
Radinio Balker,Suriname,Huddersfield Town,CD,L,Balanced,Sprinter,Aerial,,83
Haydon Roberts,England,Bristol City,CD,L,Balanced,Controller,Cover,,83
Pascal Struijk,Netherlands,Leeds United,CD,L,Balanced,Aerial,Engine,Boxcrasher,83
Joel Latibeaudiere,Jamaica,Coventry City,CD,R,Cautious,Powerhouse,Commander,,83
Axel Tuanzebe,DR Congo,Ipswich Town,CD,R,Balanced,Stopper,Powerhouse,Rock,83
Ben Cabango,Wales,Swansea City,CD,R,Cautious,Stopper,Aerial,Centre Back,83
Jack Whatmough,England,Preston North End,CD,R,Balanced,Stopper,Controller,Lynchpin,83
Lyanco,Brazil,Al-Gharafa,CD,R,Balanced,Engine,Stopper,Destroyer,83
Dion Sanderson,England,Birmingham City,CD,R,Balanced,Powerhouse,Stopper,Enforcer,83
Rob Dickie,England,Bristol City,CD,R,Cautious,Stopper,Aerial,Centre Back,83
Ashley Phillips,England,Plymouth Argyle,CD,R,Balanced,Aerial,Sprinter,Colossus,83
Cameron Humphreys,England,Rotherham,CD,R,Balanced,Powerhouse,Controller,,83
Emanuel Aiwu,Austria,Birmingham City,CD,R,Cautious,Stopper,Powerhouse,Rock,83
Armel Bella-Kotchap,Germany,PSV,CD,R,Balanced,Stopper,Aerial,Centre Back,83
Scott Wharton,England,Blackburn Rovers,CD,L,Balanced,Stopper,Powerhouse,Rock,83
Charlie Cresswell,England,Leeds United,CD,R,Balanced,Aerial,Stopper,Titan,83
Ryan Porteous,Scotland,Watford,CD,R,Balanced,Powerhouse,Stopper,Enforcer,83
Yuta Nakayama,Japan,Huddersfield Town,CD,L,Balanced,Engine,Aerial,Boxcrasher,83
Leo Hjelde,Norway,Sunderland,CD,L,Balanced,Aerial,Stopper,Titan,83
Jack Stephens,England,Southampton,CD,R,Balanced,Stopper,Commander,Leader,83
Kyle McFadzean,England,Blackburn Rovers,CD,R,Cautious,Powerhouse,Commander,,83
Steve Cook,England,QPR,CD,R,Balanced,Stopper,Engine,Train,83
Callum Doyle,England,Manchester City,CD,L,Balanced,Stopper,Powerhouse,Rock,83
Bobby Thomas,England,Coventry City,CD,R,Cautious,Stopper,Aerial,Centre Back,83
George Edmundson,England,Ipswich Town,CD,R,Cautious,Stopper,Aerial,Centre Back,83
Armel Bella-Kotchap,Germany,Southampton,CD,R,Balanced,Aerial,Powerhouse,,83
Lewis Gibson,England,Plymouth Argyle,CD,L,Balanced,Stopper,Cover,Shield,83
Daniel Ballard,Northern Ireland,Sunderland,CD,R,Balanced,Stopper,Engine,Train,83
Dael Fry,England,Middlesbrough,CD,R,Cautious,Aerial,Stopper,,83
Nathan Wood,England,Swansea City,CD,R,Cautious,Stopper,Powerhouse,Rock,83
Joe Rodon,Wales,Leeds United,CD,R,Cautious,Aerial,Stopper,,83
Semi Ajayi,Nigeria,WBA,CD,R,Cautious,Aerial,Powerhouse,Colossus,83
Matt Clarke,England,Middlesbrough,CD,L,Balanced,Stopper,Aerial,Centre Back,83
Erik Pieters,Netherlands,WBA,CD,L,Attacking,Stopper,Engine,Train,83
Dusan Tadic,Serbia,Southampton,WM,L,Attacking,Creator,Dribbler,Magician,83
Lucas Vasquez,Spain,Real Madrid,WM,R,Balanced,Sprinter,Cover,Flanker,83
Brais Mendez,Spain,Real Sociedad,WM,L,Attacking,Creator,Passer,Maestro,83
Reiss Nelson,England,Arsenal,WM,R,Attacking,Creator,Dribbler,Magician,83
Ferdi Kadrioglu,Turkey,Fenerbache,WM,R,Balanced,Engine,Dribbler,Tornate,83
Mike Tresor,Belgium,Burnley,WM,R,Attacking,Creator,Dribbler,Magician,83
Jacob Bruun Larsen,Denmark,Burnley,WM,R,Balanced,Sprinter,Engine,Shuttler,83
Alfie Doughty,England,Luton Town,WM,L,Balanced,Sprinter,Passer,Wing Back,83
Andros Townsend,England,Luton Town,WM,E,Balanced,Creator,Striker,Fantasista,83
Maxwell Cornet,Ivory Coast,West Ham,WM,L,Attacking,Sprinter,Creator,Spark,83
Ryan Sessegnon,England,Tottenham Hotspur,WM,L,Balanced,Sprinter,Creator,Spark,83
Facundo Pellestri,Uruguay,Granada,WM,R,Balanced,Creator,Dribbler,Magician,83
Jacob Murphy,England,Newcastle United,WM,R,Balanced,Sprinter,Engine,Shuttler,83
Bryan Gil,Spain,Tottenham Hotspur,WM,L,Attacking,Creator,Dribbler,Magician,83
Samuel Iling,England,Juventus,WM,L,Attacking,Sprinter,Creator,Spark,83
Christian Fassnacht,Switzerland,Norwich City,WM,R,Balanced,Engine,Creator,Raumdeuter,83
Shane Ferguson,England,Rotherham,WM,L,Balanced,Engine,Passer,Metronome,83
Tatsuhiro Sakamoto,Japan,Coventry City,WM,L,Balanced,Engine,Creator,Raumdeuter,83
Jed Wallace,England,WBA,WM,R,Attacking,Engine,Striker,Livewire,83
Sead Haksabanovic,Montenegro,Stoke City,WM,R,Attacking,Creator,Dribbler,Magician,83
Alex Pritchard,England,Birmingham City,WM,R,Balanced,Creator,Engine,Catalyst,83
Million Manhoef,Netherlands,Stoke City,WM,L,Balanced,Sprinter,Engine,Shuttler,83
Ryan Giles,England,Hull City,WM,L,Attacking,Sprinter,Passer,Wing Back,83
Sorba Thomas,Wales,Huddersfield Town,WM,R,Attacking,Sprinter,Dribbler,Flash,83
Tyrhys Dolan,England,Blackburn Rovers,WM,R,Attacking,Sprinter,Dribbler,Flash,83
Wes Burns,Wales,Ipswich Town,WM,R,Balanced,Sprinter,Engine,Shuttler,83
Anis Mehmeti,Albania,Bristol City,WM,R,Attacking,Dribbler,Sprinter,Winger,83
Lukas Engel,England,Middlesbrough,WM,L,Balanced,Engine,Sprinter,Shuttler,83
Pascal Groß,Germany,Brighton,CM,R,Balanced,Engine,Passer,Metronome,83
Dele Alli,England,,CM,R,Attacking,Creator,Engine,Catalyst,83
Jack Cork,England,Burnley,CM,R,Cautious,Cover,Engine,Guardian,83
Josh Brownhill,England,Burnley,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Joao Moutinho,Portugal,Braga,CM,R,Balanced,Controller,Passer,Regista,83
Leander Dendoncker,Belgium,Wolves,CM,R,Cautious,Aerial,Engine,Boxcrasher,83
Tomas Soucek,Czech Republic,West Ham,CM,R,Cautious,Aerial,Engine,Boxcrasher,83
Ivan Rakitić ,Croatia,Al-Shabab,CM,R,Balanced,Controller,Passer,Regista,83
Sergio Canales,Spain,Real Betis,CM,L,Attacking,Creator,Dribbler,Magician,83
Sofyan Amrabat,Morocco,Manchester United,CM,R,Cautious,Cover,Commander,Anchor,83
Fabio Vieira,Portugal,Arsenal,CM,L,Attacking,Creator,Striker,Fantasista,83
Guido Rodriguez,Argentina,Real Betis,CM,R,Cautious,Cover,Stopper,Cornerback,83
Matteo Guendouzi,France,OM,CM,R,Balanced,Cover,Commander,Anchor,83
Hector Herrera,Mexico,Houston Dynamo,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Marvelous Nakamba,Zimbabwe,Luton Town,CM,L,Balanced,Engine,Stopper,Destroyer,83
Scott Twine,England,Bristol City,CM,R,Attacking,Creator,Striker,Fantasista,83
Jairo Riedewald,Netherlands,Crystal Palace,CM,L,Balanced,Cover,Controller,Anchor,83
Lewis Cook,England,Bournemouth,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Sasa Lukic,Serbia,Fulham,CM,L,Attacking,Controller,Engine,Conductor,83
Tahith Chong,Netherlands,Luton Town,CM,L,Attacking,Creator,Engine,Catalyst,83
Mohamed Elneny,Egypt,Arsenal,CM,R,Cautious,Engine,Cover,Dynamo,83
Jacob Brown,Scotland,Luton Town,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Matheus Franca,Brazil,Crystal Palace,CM,R,Attacking,Creator,Engine,Catalyst,83
Romain Faivre,France,Bournemouth,CM,L,Balanced,Creator,Dribbler,Magician,83
Mohmoud Dahoud,Germany,Brighton,CM,R,Balanced,Controller,Engine,Conductor,83
Josh Cullen,Ireland,Burnley,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Albert Sambi Lokonga,Belgium,Luton Town,CM,R,Balanced,Controller,Engine,Conductor,83
Billy Gilmour,Scotland,Brighton,CM,R,Balanced,Controller,Passer,Regista,83
Stefan Bajcetic,Spain,Liverpool,CM,R,Balanced,Controller,Passer,Regista,83
Andreas Pereira,Brazil,Fulham,CM,R,Balanced,Creator,Passer,Maestro,83
Harry Wilson,Wales,Fulham,CM,L,Attacking,Creator,Striker,Fantasista,83
Mikkel Damsgaard,Denmark,Brentford,CM,R,Attacking,Creator,Engine,Catalyst,83
Shandon Baptiste,Grenada,Brentford,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Omari Hutchinson,England,Chelsea,CM,L,Attacking,Creator,Dribbler,Magician,83
Claudio Echeverri,Argentina,River Plate,CM,R,Attacking,Controller,Dribbler,Carrier,83
Jakub Moder,Poland,Brighton,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Gio Reyna,USA,Nottingham Forest,CM,R,Attacking,Creator,Dribbler,Magician,83
Cheikhou Kouyate,Senegal,Nottingham Forest,CM,R,Cautious,Engine,Powerhouse,Bison,83
Lewis Miley,England,Newcastle United,CM,R,Balanced,Controller,Engine,Conductor,83
Tommy Doyle,Ireland,Wolves,CM,R,Balanced,Controller,Engine,Conductor,83
Joe Willock,England,Newcastle United,CM,R,Attacking,Creator,Engine,Catalyst,83
Vinicius Souza,Brazil,Sheffield United,CM,R,Balanced,Controller,Powerhouse,,83
Gustavo Hamer,Brazil,Sheffield United,CM,R,Attacking,Creator,Engine,Catalyst,83
Sean Longstaff,England,Newcastle United,CM,R,Balanced,Engine,Cover,Dynamo,83
Oliver Norwood,Northern Ireland,Sheffield United,CM,R,Balanced,Controller,Passer,Director,83
Matty James,England,Bristol City,CM,R,Balanced,Controller,Commander,,83
Lewis Baker,England,Stoke City,CM,R,Attacking,Creator,Passer,Maestro,83
Lewis O'Brien,England,Nottingham Forest,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Yasin Ayari,Sweden,Blackburn Rovers,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Iliya Gruev,Bulgaria,Leeds United,CM,L,Balanced,Engine,Stopper,Destroyer,83
Kenny McLean,Scotland,Norwich City,CM,L,Balanced,Controller,Commander,,83
Kasey Palmer,Jamaica,Coventry City,CM,R,Attacking,Creator,Passer,Maestro,83
Arthur Vermeeren,Belgium,Antwerp,CM,R,Balanced,Controller,Passer,Regista,83
John Buckley,England,Blackburn Rovers,CM,R,Balanced,Controller,Creator,Pivot,83
Jack Rudoni,England,Huddersfield Town,CM,L,Balanced,Creator,Engine,Catalyst,83
Daniel Barlaser,England,Middlesbrough,CM,R,Balanced,Controller,Creator,Pivot,83
Will Vaulks,Wales,Sheffield Wednesday,CM,R,Balanced,Engine,Commander,Driver,83
Jayson Molumby,Ireland,WBA,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Isaac Hayden,England,Standard Liege,CM,R,Cautious,Cover,Powerhouse,Stalwart,83
Andrew Moran,Ireland,Blackburn Rovers,CM,R,Attacking,Creator,Sprinter,Livewire,83
Adama Traore,Mali,Hull City,CM,L,Balanced,Creator,Dribbler,Magician,83
Gustavo Puerta,Colombia,Leverkusen,CM,R,Balanced,Engine,Stopper,Destroyer,83
Josh Eccles,England,Coventry City,CM,R,Balanced,Engine,Stopper,Destroyer,83
Riley McGree,Australia,Middlesbrough,CM,L,Attacking,Creator,Engine,Catalyst,83
Barry Bannan,Scotland,Sheffield Wednesday,CM,L,Balanced,Passer,Controller,,83
Krystian Bielik,Poland,Birmingham City,CM,R,Balanced,Aerial,Engine,Boxcrasher,83
Regan Slater,England,Hull City,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Cafú,Portugal,Rotherham,CM,R,Balanced,Engine,Commander,Driver,83
Sam Morsy,,Ipswich Town,CM,R,Cautious,Powerhouse,Engine,Gladiator,83
Adil Aouchiche,France,Sunderland,CM,R,Attacking,Creator,Dribbler,Magician,83
Noah Mbamba,Belgium,Leverkusen,CM,R,Balanced,Controller,Engine,Conductor,83
Bradley Dack,England,Sunderland,CM,R,Attacking,Creator,Engine,Catalyst,83
Brad Potts,England,Preston North End,CM,R,Balanced,Engine,Controller,Box-To-Box,83
John Fleck,Scotland,Blackburn Rovers,CM,L,Balanced,Creator,Passer,Maestro,83
Ozan Tufan,Turkey,Hull City,CM,R,Balanced,Engine,Powerhouse,Bison,83
Jonny Howson,England,Middlesbrough,CM,R,Balanced,Controller,Engine,,83
Victor Torp,Denmark,Coventry City,CM,R,Balanced,Creator,Engine,Catalyst,83
Joe Hodge,Ireland,Wolves,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Archie Gray,,Leeds United,CM,R,Balanced,Controller,Passer,Regista,83
Andre Dozzell,England,Birmingham City,CM,L,Attacking,Passer,Creator,Playmaker,83
Jonathan Hogg,England,Huddersfield Town,CM,R,Cautious,Engine,Commander,Driver,83
Callum Wright,England,Plymouth Argyle,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Jacob Sorensen,Denmark,Norwich City,CM,R,Balanced,Powerhouse,Engine,Gladiator,83
Ivan Sunjic,Croatia,Birmingham City,CM,R,Cautious,Engine,Stopper,Destroyer,83
Sam Field,England,QPR,CM,L,Balanced,Engine,Controller,Box-To-Box,83
Giorgi Chakvetadze,Georgia,Watford,CM,R,Attacking,Creator,Dribbler,Magician,83
Edo Kayembe,DR Congo,Watford,CM,L,Balanced,Engine,Controller,Box-To-Box,83
Matty James,England,Bristol City,CM,R,Balanced,Controller,Engine,Conductor,83
Hayden Hackney,England,Middlesbrough,CM,R,Balanced,Creator,Engine,Catalyst,83
Joe Allen,Wales,Swansea City,CM,R,Balanced,Controller,Passer,Regista,83
Ben Sheaf,England,Coventry City,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Jordan James,Wales,Birmingham City,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Hamza Choudhury,England,Leicester City,CM,R,Cautious,Engine,Stopper,Destroyer,83
Oliver Rathbone,England,Rotherham,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Abdoullah Ba,Mauritania,Sunderland,CM,R,Balanced,Engine,Creator,Raumdeuter,83
Ben Woodburn,Wales,Preston North End,CM,R,Balanced,Creator,Passer,Maestro,83
Corry Evans,Northern Ireland,Sunderland,CM,R,Balanced,Controller,Engine,Conductor,83
Alex Mowatt,England,WBA,CM,L,Balanced,Engine,Creator,Raumdeuter,83
George Byers,Scotland,Sheffield Wednesday,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Adam Forshaw,England,Plymouth Argyle,CM,R,Balanced,Engine,Commander,Driver,83
Paik Seung-ho,South Korea,Birmingham City,CM,R,Attacking,Creator,Engine,Catalyst,83
Pierre Ekwah,France,Sunderland,CM,L,Balanced,Controller,Passer,Regista,83
Shea Charles,Northern Ireland,Southampton,CM,R,Balanced,Engine,Powerhouse,Bison,83
Jason Knight,Ireland,Bristol City,CM,R,Balanced,Engine,Stopper,Destroyer,83
Alan Browne,Ireland,Preston North End,CM,R,Balanced,Engine,Commander,Driver,83
Luka Sucic,Croatia,RB Salzburg,CM,L,Attacking,Creator,Dribbler,Magician,83
Will Smallbone,Ireland,Southampton,CM,R,Balanced,Controller,Engine,Conductor,83
Dan Neil,England,Sunderland,CM,R,Balanced,Engine,Controller,Box-To-Box,83
Tom Dele-Bashiru,Nigeria,Watford,CM,R,Balanced,Sprinter,Creator,Spark,83
Massimo Luongo,Australia,Ipswich Town,CM,R,Balanced,Engine,Commander,Driver,83
Andy Rinomhota,Zimbabwe,Rotherham,CM,R,Balanced,Engine,Commander,Driver,83
Luca Koleosho,Italy,Burnley,WF,R,Attacking,Sprinter,Dribbler,Flash,83
Anass Zaroury,Morocco,Burnley,WF,R,Attacking,Creator,Sprinter,Livewire,83
Kevin Schade,Germany,Brentford,WF,R,Attacking,Sprinter,Striker,Ghost,83
Wilson Odobert,France,Burnley,WF,R,Attacking,Creator,Dribbler,Magician,83
Micah Hamilton,England,Manchester City,WF,R,Balanced,Creator,Engine,Catalyst,83
Keane Lewis-Potter,England,Brentford,WF,R,Attacking,Creator,Dribbler,Magician,83
Amad Diallo,Ivory Coast,Manchester United,WF,L,Attacking,Dribbler,Creator,Wizard,83
Manor Solomon,Israel,Tottenham Hotspur,WF,R,Attacking,Sprinter,Creator,Spark,83
Shola Shoretire,England,Manchester United,WF,R,Attacking,Creator,Dribbler,Magician,83
Chris Willock,England,QPR,WF,R,Attacking,Dribbler,Creator,Wizard,83
Ryan Fraser,Scotland,Southampton,WF,R,Balanced,Creator,Engine,Catalyst,83
Rayan Cherki,France,OL,WF,E,Attacking,Controller,Dribbler,Carrier,83
Anass Zaroury,Morocco,Hull City,WF,R,Attacking,Sprinter,Dribbler,Flash,83
Liel Abada,Israel,Celtic,WF,R,Attacking,Sprinter,Creator,Spark,83
Nathan Broadhead,,Ipswich Town,WF,R,Attacking,Sprinter,Striker,,83
Morgan Whittaker,England,Plymouth Argyle,WF,L,Attacking,Dribbler,Striker,Attacker,83
Christos Tziolis,Greece,Fortuna Dusseldorf,WF,R,Balanced,Sprinter,Creator,Spark,83
Grady Diangana,DR Congo,WBA,WF,L,Attacking,Sprinter,Creator,Spark,83
Patrick Roberts,England,Sunderland,WF,L,Attacking,Dribbler,Creator,Wizard,83
Ronald,Brazil,Swansea City,WF,R,Balanced,Sprinter,Dribbler,Flash,83
Liam Millar,Canada,Preston North End,WF,R,Attacking,Creator,Dribbler,Magician,83
Harry Cornick,England,Bristol City,WF,R,Attacking,Engine,Creator,Raumdeuter,83
Adam Armstrong,England,Southampton,WF,R,Attacking,Sprinter,Striker,Ghost,83
Tom Ince,England,Watford,WF,L,Attacking,Creator,Engine,Catalyst,83
Carlos Vinicius,Brazil,Fulham,CF,L,Balanced,Powerhouse,Striker,Spearhead,83
Zeki Amdouni,Switzerland,Burnley,CF,R,Attacking,Creator,Dribbler,Magician,83
Cameron Archer,England,Sheffield United,CF,R,Attacking,Sprinter,Striker,Ghost,83
Deived Washington,Brazil,Chelsea,CF,R,Balanced,Creator,Passer,Maestro,83
Lyle Foster,South Africa,Burnley,CF,R,Attacking,Powerhouse,Striker,Spearhead,83
John Duran,Colombia,Aston Villa,CF,R,Balanced,Powerhouse,Striker,Spearhead,83
Armando Broja,Albania,Fulham,CF,L,Balanced,Sprinter,Powerhouse,Athlete,83
Divock Origi,Belgium,Nottingham Forest,CF,R,Attacking,Striker,Creator,Assassin,83
Ben Brereton Diaz,Chile,Sheffield United,CF,R,Attacking,Sprinter,Striker,Ghost,83
Rhian Brewster,England,Sheffield United,CF,R,Attacking,Striker,Sprinter,Rocket,83
Ross Stewart,Scotland,Southampton,CF,R,Balanced,Aerial,Striker,Target,83
Tyrese Campbell,England,Stoke City,CF,L,Attacking,Striker,Sprinter,Rocket,83
Vakoun Bayo,Ivory Coast,Watford,CF,R,Attacking,Aerial,Powerhouse,Colossus,83
Josh Sargent,USA,Norwich City,CF,R,Balanced,Engine,Striker,Livewire,83
Mykola Kukharevych,Ukraine,Swansea City,CF,R,Attacking,Striker,Aerial,Hitman,83
Jay Stansfield,England,Birmingham City,CF,R,Balanced,Engine,Striker,Livewire,83
Liam Delap,England,Hull City,CF,R,Attacking,Sprinter,Striker,Ghost,83
Liam Cullen,Wales,Swansea City,CF,L,Attacking,Striker,Engine,Poacher,83
Sam Nombe,England,Rotherham,CF,R,Attacking,Sprinter,Powerhouse,Athlete,83
Matt Godden,England,Coventry City,CF,R,Attacking,Striker,Engine,Poacher,83
Rhys Healey,England,Huddersfield Town,CF,R,Attacking,Stopper,Engine,Train,83
Niall Ennis,Jamaica,Blackburn,CF,R,Attacking,Sprinter,Striker,Ghost,83
Wesley,Brazil,Stoke City,CF,R,Balanced,Aerial,Powerhouse,Colossus,83
Sydney van Hooijdonk,Netherlands,Norwich City,CF,R,Attacking,Striker,Aerial,Hitman,83
Ashley Barnes,England,Norwich City,CF,R,Balanced,Engine,Striker,,83
Scott Hogan,Ireland,Birmingham City,CF,R,Attacking,Striker,Engine,Poacher,83
Emmanuel Latte Lath,Ivory Coast,Middlesbrough,CF,R,Attacking,Sprinter,Dribbler,Flash,83
Lyndon Dykes,Scotland,QPR,CF,R,Balanced,Powerhouse,Aerial,Tank,83
Ellis Simms,England,Coventry City,CF,R,Balanced,Powerhouse,Striker,Spearhead,83
Josh Coburn,England,Middlesbrough,CF,R,Attacking,Striker,Powerhouse,Rifle,83
Tommy Conway,Scotland,Bristol City,CF,R,Attacking,Striker,Sprinter,Rocket,83
Michael Smith,England,Sheffield Wednesday,CF,R,Attacking,Aerial,Powerhouse,Colossus,83
Josh Maja,Nigeria,WBA,CF,R,Attacking,Powerhouse,Striker,Spearhead,83
Jordan Rhodes,England,Blackpool,CF,R,Attacking,Striker,Aerial,Hitman,83
Andreas Weimann,Austria,WBA,CF,R,Balanced,Engine,Sprinter,Shuttler,83
Jerry Yates,England,Swansea City,CF,R,Attacking,Engine,Striker,Livewire,83
Emil Riis Jakobsen,Denmark,Preston North End,CF,R,Attacking,Striker,Sprinter,Rocket,83
Sam Greenwood,England,Middlesbrough,CF,R,Attacking,Striker,Engine,Poacher,83
Daryl Dike,USA,WBA,CF,R,Attacking,Powerhouse,Striker,Spearhead,83
Jordan Hugill,England,Rotherham,CF,R,Attacking,Powerhouse,Aerial,Tank,83
Josh Windass,England,Sheffield Wednesday,CF,R,Attacking,Striker,Sprinter,Rocket,83
Adam Idah,England,Celtic,CF,R,Balanced,Sprinter,Powerhouse,Athlete,83
Joe Gelhardt,,Leeds United,CF,L,Attacking,Creator,Engine,Catalyst,83
Robert Sánchez,Spain,Chelsea,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Kasper Schmeichel,Denmark,Leicester City,GK,R,Balanced,Commander,Orthodox,Hawk,82
Mark Travers,Ireland,Bournemouth,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Steven Benda,Germany,Fulham,GK,R,Balanced,Aerial,Acrobat,,82
Lawrence Vigouroux,Chile,Burnley,GK,L,Balanced,Distributor,Acrobat,Guardian,82
Darren Randolph,Ireland,Bournemouth,GK,R,Balanced,Acrobat,Commander,,82
Matt Turner,USA,Nottingham Forest,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Adam Davies,Wales,Sheffield United,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Ben Hamer,England,Watford,GK,R,Cautious,Orthodox,Acrobat,Wall,82
Josh Griffiths,England,WBA,GK,R,Balanced,Distributor,Sweeper,Libero GK,82
Viktor Johansson,Sweden,Rotherham,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Joe Lumley,England,Southampton,GK,R,Cautious,Sweeper,Aerial,,82
Stefan Bajic,France,Bristol City,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,82
Alex Palmer,England,WBA,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Anthony Patterson,England,Sunderland,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,82
Seny Dieng,Senegal,Middlesbrough,GK,R,Balanced,Commander,Orthodox,Hawk,82
Jordan Archer,Scotland,QPR,GK,R,Cautious,Acrobat,Sweeper,Hawk,82
Ryan Allsop,England,Hull City,GK,R,Cautious,Aerial,Orthodox,Shotstopper,82
Chris Maxwell,Wales,Huddersfield Town,GK,R,Cautious,Commander,Sweeper,,82
Bradley Collins,England,Coventry City,GK,R,Cautious,Distributor,Sweeper,Libero GK,82
Neil Etheridge,Phillipines,Birmingham City,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,82
Ben Wilson,England,Coventry City,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,82
Simon Moore,England,Coventry City,GK,R,Cautious,Aerial,Orthodox,Shotstopper,82
Daniel Bachmann,Austria,Watford,GK,R,Cautious,Acrobat,Sweeper,Hawk,82
Tommy Simkin,England,Stoke City,GK,R,Cautious,Acrobat,Sweeper,Hawk,82
Aynsley Pears,England,Blackburn Rovers,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,82
Tariq Lamptey,England,Brighton,WD ,R,Attacking,Sprinter,Cover,Flanker,82
Matt Lowton,England,Burnley,WD ,R,Balanced,Engine,Cover,Dynamo,82
Charlie Taylor,England,Burnley,WD ,L,Balanced,Cover,Engine,Guardian,82
Jonny,Portugal,PAOK,WD ,R,Balanced,Engine,Cover,Dynamo,82
Lorenz Assignon,France,Burnley,WD ,R,Balanced,Sprinter,Engine,Shuttler,82
Ryan Fredericks,England,Bournemouth,WD ,R,Balanced,Sprinter,Engine,Shuttler,82
Connor Roberts,Wales,Leeds United,WD ,R,Balanced,Engine,Sprinter,Shuttler,82
Daiki Hashioka,Japan,Luton Town,WD ,R,Balanced,Engine,Stopper,Destroyer,82
