Name,Active,Nation,Club,Physique,Character,Primary Class,Secondary Class,Position,Model,Level,Base Value,Decisions,Composure,Tempo,First Touch,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Flair,Balace,Set Piece,Carries,Penalty,Long,Close,Through,Range,Accuracy,Cross,Takeons,Skills,Anticipation,Stamina,Recovery,Pressing,Intensity,Tackling,Marking,Blocking,Bravery,Positioning,Concentraion,Awareness,Aerial Duels,Reactions,Pace,Acceleration,Agility,Physicality,Hold Up,Duels,Aggression,Coordination,Jumping,Heading,Foot,Mentality
Kevin Mirallas,,Belgium,Retired,Powerful,Determined,Creator,Striker,Wide Forward,Fantasista,82,£35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Wilfried Gnonto,checked,Italy,Leeds,Nimble,Unpredictable,Dribbler,Creator,Wide Forward,Wizard,82,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Manuel Lanzini,checked,Argentina,West Ham,Nimble,Crafty,Creator,Dribbler,Wide Midfielder,Magician,82,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Adama Traore,checked,Spain,Wolves,Rapid,Mercurial,Sprinter,Powerhouse,Wide Midfielder,Juggernaut,82,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Georgi Kinkladze,,Georgia,Retired,Nimble,Mercurial,Dribbler,Creator,Wide Midfielder,Wizard,82,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Lucas Vasquez,checked,,Real Madrid,,,Sprinter,Cover,Wide Midfielder,Flanker,82,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
Colin Hendry,,Scotland,Retired,Robust,Influential,Stopper,Commander,Central Defender,Leader,81,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Robert Huth,,Germany,Retired,Imposing,Physical,Aerial,Stopper,Central Defender,Titan,81,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Ben Mee,checked,England,Burnley,Robust,Resolute,Stopper,Cover,Central Defender,Shield,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Andre Ogbonna,checked,Italy,West Ham,Dominant,Aggressive,Stopper,Aerial,Central Defender,Centre Back,81,£18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Martin Keown,,England,Retired,Robust,Tenacious,Stopper,Powerhouse,Central Defender,Rock,81,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Henning Berg,,Norway,Retired,Robust,Influential,Stopper,Powerhouse,Central Defender,Rock,81,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Toby Alderwireld,,Belgium,Retired,Powerful,Determined,Stopper,Passer,Central Defender,Libero,81,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jonathan Woodgate,,England,Retired,Athletic,Composed,Stopper,Controller,Central Defender,Lynchpin,81,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Dean Ashton,,England,Retired,Robust,Composed,Striker,Powerhouse,Central Forward,Rifle,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Dwight Yorke,,Trinidad & Tobago,Retired,Balanced,Composed,Creator,Striker,Central Forward,Fantasista,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Danny Ings,checked,England,Southampton,Speedy,Focused,Striker,Engine,Central Forward,Poacher,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Mark Viduka,,Australia,Retired,Powerful,Determined,Powerhouse,Striker,Central Forward,Spearhead,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Danny Drinkwater,,England,Retired,Dynamic,Box-to-Box,Controller,Passer,Central Midfielder,Regista,81,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Danny Murphy,,England,Retired,Balanced,Composed,Controller,Passer,Central Midfielder,Regista,81,£2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Santi Cazorla,checked,Spain,Real Oviedo,Nimble,Composed,Controller,Creator,Central Midfielder,Playmaker,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Balanced
Mark Noble,,England,Retired,Dynamic,Tenacious,Engine,Controller,Central Midfielder,Box-To-Box,81,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Yohan Cabaye,,France,Retired,Balanced,Composed,Controller,Passer,Central Midfielder,Regista,81,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Tom Cairney,checked,Scotland,Fulham,Tall,Charismatic,Controller,Creator,Central Midfielder,Playmaker,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Mateusz Klich,checked,Poland,Leeds,Dynamic,Tireless,Engine,Creator,Central Midfielder,Heartbeat,81,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
David Seaman,,England,Retired,Solid,Reliable,Acrobat,Orthodox,Keeper,Shotstopper,81,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Christian Fuchs,,Austria,Retired,Tall,Reliable,Engine,Cover,Wide Defender,Dynamo,81,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Wayne Bridge,,England,Retired,Athletic,Reliable,Engine,Cover,Wide Defender,Dynamo,81,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Steve Finnan,,Ireland,Retired,Dynamic,Reliable,Engine,Cover,Wide Defender,Dynamo,81,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Matt Doherty,checked,Ireland,Wolves,Powerful,Reliable,Engine,Cover,Wide Defender,Dynamo,81,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Danny Rose,,England,Retired,Speedy,Reliable,Cover,Engine,Wide Defender,Full Back,81,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Danny Mills,,England,Retired,Robust,Tenacious,Cover,Powerhouse,Wide Defender,Stalwart,81,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Nobby Solano,,Peru,Retired,Agile,Composed,Passer,Creator,Wide Midfielder,Radar,81,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Yossi Benayoun,,England,Retired,Nimble,Crafty,Creator,Passer,Wide Midfielder,Maestro,81,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Andrei Kanchelskis,,Russia,Retired,Speedy,Classy,Dribbler,Creator,Wide Midfielder,Wizard,81,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Gareth Barry,,England,Retired,Athletic,Intelligent,Stopper,Commander,Central Defender,Leader,80,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Jose Fonte,checked,Portugal,Southampton,Robust,Influential,Stopper,Aerial,Central Defender,Centre Back,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jan Vertonghen,checked,Belgium,Tottenham Hotspur,Powerful,Tenacious,Stopper,Engine,Central Defender,Train,80,£60000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Michael Dawson,,England,Retired,Robust,Committed,Stopper,Commander,Central Defender,Leader,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Caglar Soyuncu,checked,Turkey,Leicester,Powerful,Aggressive,Stopper,Powerhouse,Central Defender,Rock,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Kelechi Iheanacho,checked,Nigeria,Leicester,Athletic,Composed,Striker,Creator,Central Forward,Assassin,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Chris Sutton,,England,Retired,Powerful,Focused,Aerial,Striker,Central Forward,Target,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Emile Heskey,,England,Retired,Powerful,Determined,Aerial,Powerhouse,Central Forward,Colossus,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Peter Beardsley,,England,Retired,Nimble,Crafty,Creator,Striker,Central Forward,Fantasista,80,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Asamoah Gyan,,Ghana,Retired,Powerful,Industrious,Striker,Creator,Central Forward,Assassin,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Andy Carroll,checked,England,Newcastle,Towering,Tenacious,Aerial,Striker,Central Forward,Target,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Raul Jimenez,checked,Mexico,Fulham,Powerful,Energetic,Aerial,Striker,Central Forward,Target,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Tony Yeboah,,Ghana,Retired,Powerful,Determined,Powerhouse,Striker,Central Forward,Spearhead,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Tugay Kerimoglu,,Turkey,Retired,Stocky,Competitive,Controller,Passer,Central Midfielder,Regista,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Gary Speed,,Wales,Retired,Dynamic,Tireless,Engine,Commander,Central Midfielder,Driver,80,£18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Dele Alli,checked,England,Tottenham Hotspur,Rangy,Creative,Creator,Engine,Central Midfielder,Catalyst,80,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Jack Cork,checked,England,Burnley,Dynamic,Reliable,Cover,Engine,Central Midfielder,Anchor,80,£3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Lee Bowyer,,England,Retired,Dynamic,Aggressive,Engine,Creator,Central Midfielder,Heartbeat,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Marouane Fellaini,,Belgium,Retired,Rangy,Aggressive,Aerial,Powerhouse,Central Midfielder,Colossus,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Tim Cahill,,Australia,Retired,Balanced,Tireless,Aerial,Engine,Central Midfielder,Boxcrasher,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Thomas Gravesen,,Denmark,Retired,Dynamic,Reliable,Engine,Controller,Central Midfielder,Box-To-Box,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Bernd Leno,checked,Germany,Fulham,Athletic,Composed,Distributor,Sweeper,Keeper,Libero GK,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balanced
Jerzy Dudek,,Poland,Retired,Athletic,Eccentric,Acrobat,Orthodox,Keeper,Shotstopper,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Aaron Cresswell,checked,England,West Ham,Robust,Resolute,Passer,Cover,Wide Defender,Provider,80,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Dan Burn,checked,England,Newcastle,Towering,Resolute,Aerial,Stopper,Wide Defender,Titan,80,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Danny Simpson,,England,Retired,Powerful,Reliable,Cover,Engine,Wide Defender,Full Back,80,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Vedran Corluka,,Croatia,Retired,Athletic,Resolute,Cover,Engine,Wide Defender,Full Back,80,£9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Vladimir Coufal,checked,Czech Republic,West Ham,Dynamic,Resolute,Engine,Cover,Wide Defender,Dynamo,80,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Attilio Lombardo,,Italy,Retired,Speedy,Crafty,Creator,Engine,Wide Forward,Catalyst,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Theo Walcott,,England,Retired,Rapid,Focused,Sprinter,Striker,Wide Forward,Ghost,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Bryan Ruiz,,Costa Rica,Retired,Balanced,Elegant,Creator,Striker,Wide Forward,Fantasista,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Adam Lallana,checked,England,Southampton,Nimble,Resolute,Dribbler,Creator,Wide Midfielder,Wizard,80,£40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Balanced
Morten Gamst Pedersen,,Norway,Retired,Athletic,Determined,Engine,Dribbler,Wide Midfielder,Tornate,80,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Balanced
Steve Stone,,England,Retired,Dynamic,Resolute,Engine,Dribbler,Wide Midfielder,Tornate,80,£13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jonas Gutierrez,,Argentina,Retired,Athletic,Energetic,Engine,Creator,Wide Midfielder,Heartbeat,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Steven Pienaar,,South Africa,Retired,Agile,Composed,Creator,Engine,Wide Midfielder,Catalyst,80,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Ryan Nelsen,,New Zealand,Retired,Strong,Resolute,Stopper,Powerhouse,Central Defender,Rock,79,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Ugo Ehiogu,,England,Retired,Powerful,Resolute,Powerhouse,Stopper,Central Defender,Enforcer,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Fabricio Coloccini,,Argentina,Retired,Robust,Aggressive,Stopper,Powerhouse,Central Defender,Rock,79,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Richard Dunne,,Ireland,Retired,Robust,Resolute,Stopper,Commander,Central Defender,Leader,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Winston Reid,,New Zealand,Retired,Powerful,Resolute,Stopper,Aerial,Central Defender,Centre Back,79,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
David Unsworth,,England,Retired,Powerful,Resolute,Stopper,Powerhouse,Central Defender,Rock,79,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Lucas Radebe,,South Africa,Retired,Powerful,Resolute,Stopper,Commander,Central Defender,Leader,79,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Clint Dempsey,,USA,Retired,Athletic,Tenacious,Engine,Striker,Central Forward,Livewire,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Shinji Okazaki,checked,Japan,Leicester,Dynamic,Industrious,Engine,Striker,Central Forward,Livewire,79,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Diego Costa,checked,Spain/Brazil,Chelsea,Powerful,Combative,Powerhouse,Striker,Central Forward,Spearhead,79,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Robbie Fowler,,England,Retired,Balanced,Crafty,Striker,Creator,Central Forward,Assassin,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
James Beattie,,England,Retired,Powerful, Determined,Striker,Aerial,Central Forward,Hitman,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Roque Santa Cruz,,Paraguay,Retired,Powerful,Elegant,Aerial,Striker,Central Forward,Target,79,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Jamie Vardy,checked,England,Leicester,Rapid,Antagonistic,Sprinter,Striker,Central Forward,Ghost,79,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Kenwyne Jones,,Trinidad & Tobago,Retired,Powerful,Industrious,Aerial,Striker,Central Forward,Target,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Steven Fletcher,,Scotland,Retired,Powerful,Determined,Aerial,Striker,Central Forward,Target,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Nicky Butt,,England,Retired,Robust,Resolute,Engine,Stopper,Central Midfielder,Destroyer,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Gareth Southgate,,England,Retired,Dynamic,Resolute,Commander,Stopper,Central Midfielder,Leader,79,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Scott Parker,,England,Retired,Dynamic,Influential,Engine,Passer,Central Midfielder,Metronome,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Papa Bouba Diop,,Senegal,Retired,Powerful,Resolute,Powerhouse,Cover,Central Midfielder,Gladiator,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Morgan Schneiderlin,,France,Retired,Robust,Tireless,Cover,Engine,Central Midfielder,Full Back,79,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Jermaine Jenas,,England,Retired,Balanced,Composed,Creator,Engine,Central Midfielder,Catalyst,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Shay Given,,Ireland,Retired,Agile,Reliable,Acrobat,Orthodox,Keeper,Shotstopper,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Joe Hart,checked,England,Celtic,Athletic,Determined,Orthodox,Acrobat,Keeper,Wall,79,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jose Sa,checked,Wales,Wolves,Athletic,Reliable,Orthodox,Distributor,Keeper,Sentry,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Patrick van Aanholt,checked,Netherlands,Crystal Palace,Rapid,Unpredictable,Sprinter,Cover,Wide Defender,Flanker,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Joel Veltman,checked,Netherlands,Brighton,Robust,Composed,Cover,Stopper,Wide Defender,Cornerback,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Julio Arca,,Argentina,Retired,Dynamic,Tenacious,Engine,Cover,Wide Defender,Dynamo,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Warren Barton,,England,Retired,Dynamic,Composed,Cover,Engine,Wide Defender,Full Back,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Christian Ziege,,Germany,Retired,Dynamic,Relentless,Engine,Cover,Wide Defender,Dynamo,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Steve Potts,,England,Retired,Powerful,Reliable,Engine,Cover,Wide Defender,Dynamo,79,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Stuart Dallas,,Scotland,Retired,Athletic,Tenacious,Engine,Commander,Wide Defender,Driver,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Robbie Brady,,Ireland,Retired,Speedy,Determined,Dribbler,Engine,Wide Midfielder,Outlet,79,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Stuart Ripley,,England,Retired,Speedy,Reliable,Dribbler,Sprinter,Wide Midfielder,Winger,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Kieran Richardson,,England,Retired,Balanced,Composed,Creator,Passer,Wide Midfielder,Maestro,79,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Jason Wilcox,,England,Retired,Speedy,Reliable,Dribbler,Sprinter,Wide Midfielder,Winger,79,£15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,
Johann Berg Gudmundsson,checked,Iceland,Burnley,Pacy,Creative,Dribbler,Striker,Wide Midfielder,Spark,79,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Marc Albrighton,checked,England,Leicester,Athletic,Industrious,Engine,Sprinter,Wide Midfielder,Shuttler,79,£12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Aaron Lennon,,England,Retired,Rapid,Reliable,Dribbler,Creator,Wide Midfielder,Wizard,79,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
Maya Yoshida,checked,Japan,Southampton,Powerful,Resolute,Stopper,Engine,Central Defender,Train,78,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Claus Lundekvam,,Norway,Retired,Tall,Composed,Stopper,Aerial,Central Defender,Centre Back,78,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
John O'Shea,checked,Irish,Sunderland,Strong,Resolute,Stopper,Commander,Central Defender,Leader,78,£2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Tim Ream,checked,USA,Fulham,Robust,Resolute,Stopper,Commander,Central Defender,Leader,78,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Aaron Hughes,,Northern Ireland,Retired,Robust,Resolute,Stopper,Commander,Central Defender,Leader,78,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Max Kilman,checked,England,Wolves,Powerful,Composed,Stopper,Controller,Central Defender,Lynchpin,78,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Roman Saiss,checked,Morocco,Wolves,Powerful,Influential,Stopper,Commander,Central Defender,Leader,78,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Tomas Repka,,Czech Republic,Retired,Powerful,Aggressive,Stopper,Powerhouse,Central Defender,Rock,78,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Dominic Matteo,,Scotland,Retired,Powerful,Resolute,Stopper,Powerhouse,Central Defender,Rock,78,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Niall Quinn,,Ireland,Retired,Tall,Industrious,Aerial,Striker,Central Forward,Target,78,£7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
